rank,account,total_pnl_$,avg_pnl_per_trade_$,trade_count,win_rate_%,tier
1,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.6,341.36,6279,79.1,Top 20 Traders
2,0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,923.92,1732,79.27,Top 20 Traders
3,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.81,94.04,9997,99.12,Top 20 Traders
4,0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.56,153.31,5482,89.55,Top 20 Traders
5,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.55,37.08,22551,76.31,Top 20 Traders
6,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.05,303.51,2233,94.85,Top 20 Traders
7,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.57,582.57,737,74.63,Top 20 Traders
8,0x430f09841d65beb3f27765503d0f850b8bce7713,416541.87,695.4,599,100.0,Top 20 Traders
9,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.5,714.56,564,77.66,Top 20 Traders
10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.41,43.78,8660,92.63,Top 20 Traders
11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.87,104.77,2949,92.68,Top 20 Traders
12,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.06,187.36,1177,73.49,Top 20 Traders
13,0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59,2216.73,90,100.0,Top 20 Traders
14,0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.0,81.87,2060,81.75,Top 20 Traders
15,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.81,19.56,6772,86.21,Top 20 Traders
16,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.94,141.9,892,97.65,Top 20 Traders
17,0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.22,255.24,426,98.83,Top 20 Traders
18,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.88,19.12,5561,97.03,Top 20 Traders
19,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.72,28.21,3663,82.2,Top 20 Traders
20,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.48,285.67,255,93.73,Top 20 Traders
21,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.62,294.98,230,100.0,Bottom 20 Traders
22,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.66,91.76,714,88.38,Bottom 20 Traders
23,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.25,338.58,158,100.0,Bottom 20 Traders
24,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.32,11.49,4166,77.36,Bottom 20 Traders
25,0x8477e447846c758f5a675856001ea72298fd9cb5,43917.01,6.7,6559,59.9,Bottom 20 Traders
26,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.5,8.52,2641,80.35,Bottom 20 Traders
27,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.83,94.6,230,74.78,Bottom 20 Traders
28,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.44,19.97,746,94.5,Bottom 20 Traders
29,0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.92,8.18,1767,66.55,Bottom 20 Traders
30,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.6,-54.74,570,65.09,Bottom 20 Traders
31,0x271b280974205ca63b716753467d5a371de622ab,-70436.19,-43.83,1607,71.56,Bottom 20 Traders
32,0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.12,-71.6,2341,75.22,Bottom 20 Traders
